特征,重要性
Volume,4.163938580071849
Year,1.667816827840246
Month,12.817198436846686
Day,1.3232949209120413
MA5,2.2334912763163604
MA10,2.573670070653072
MA20,0.8665324999991694
RSI,1.0849274244435858
MACD,12.157852228738912
VWAP,0.15439514138129426
SMA,3.7399951510189107
Std_dev,0.8661162325095552
Upper_band,3.582609663043902
Lower_band,2.5157036859461233
Relative_Performance,0.19350733707627127
ATR,1.6948109684626858
Close_yes,3.6103834267898898
Open_yes,6.015277699097965
High_yes,3.819650642755483
Low_yes,6.499995768260727
MACD_Histogram,3.6297318042664437
Signal_Line,6.344664335058205
ROC,18.444080793057935
